Fp2;F8;FT8;T8;TP8;P8;TP10;O2;Oz;O1;TP9;P7;TP7;T7;FT7;F7;FP1;AFz;F4;FC4;C4;CP4;P4;Pz;P3;CP3;C3;FC3;F3;Fz;FCz;CPz;Cz
-5.132;-1.770;-0.219;2.732;4.565;9.213;-0.862;5.375;1.354;-4.257;-4.016;-14.087;-9.069;-4.742;-2.709;-2.273;-2.221;-4.558;-7.670;-6.508;-7.184;0.137;5.398;3.268;-6.575;-2.973;-1.974;0.263;-1.932;-3.884;-1.142;3.987;3.794
-4.047;-1.380;-0.543;1.518;3.966;8.941;-1.495;5.183;0.686;-4.748;-4.816;-14.161;-9.707;-5.096;-1.484;-1.914;-2.004;-3.674;-6.318;-6.081;-7.493;-0.881;4.971;3.407;-5.853;-2.190;-0.900;1.233;-1.061;-2.557;0.476;4.463;4.931
-2.915;-0.598;-0.586;0.341;3.340;8.509;-2.036;4.824;-0.021;-5.079;-5.803;-13.910;-9.935;-4.933;-0.084;-1.125;-1.570;-2.402;-4.613;-5.246;-7.682;-2.129;4.117;3.333;-4.973;-1.258;0.424;2.549;0.324;-0.682;2.514;4.854;6.143
-1.929;0.565;-0.241;-0.690;2.540;7.840;-2.474;4.314;-0.713;-5.215;-6.734;-13.386;-9.775;-4.346;1.267;0.002;-0.953;-0.918;-2.791;-4.202;-7.906;-3.652;2.822;2.982;-4.077;-0.305;1.794;3.980;2.005;1.466;4.651;5.037;7.242
-1.137;2.049;0.470;-1.532;1.387;6.862;-2.753;3.662;-1.306;-5.088;-7.392;-12.635;-9.298;-3.473;2.356;1.351;-0.233;0.646;-1.008;-3.099;-8.238;-5.452;1.139;2.343;-3.261;0.567;3.003;5.314;3.724;3.666;6.611;4.915;8.039
-0.454;3.722;1.395;-2.203;-0.185;5.550;-2.844;2.874;-1.741;-4.658;-7.595;-11.668;-8.576;-2.447;2.999;2.770;0.496;2.209;0.683;-1.993;-8.625;-7.431;-0.807;1.475;-2.548;1.291;3.897;6.392;5.244;5.754;8.201;4.450;8.394
0.285;5.359;2.307;-2.781;-2.065;3.935;-2.791;1.945;-2.026;-3.960;-7.211;-10.460;-7.656;-1.409;3.010;4.049;1.166;3.698;2.282;-0.889;-8.926;-9.402;-2.853;0.487;-1.911;1.840;4.397;7.095;6.379;7.574;9.311;3.675;8.235
1.278;6.722;3.079;-3.346;-4.016;2.131;-2.687;0.921;-2.151;-3.039;-6.243;-8.953;-6.538;-0.463;2.310;5.007;1.816;5.069;3.826;0.243;-8.936;-11.101;-4.798;-0.445;-1.245;2.269;4.554;7.397;7.055;9.034;9.957;2.737;7.635
2.664;7.672;3.778;-3.884;-5.800;0.304;-2.595;-0.080;-2.057;-1.921;-4.891;-7.127;-5.225;0.343;1.064;5.572;2.576;6.308;5.346;1.432;-8.468;-12.270;-6.448;-1.123;-0.414;2.691;4.513;7.379;7.312;10.147;10.258;1.867;6.804
4.380;8.157;4.516;-4.318;-7.285;-1.437;-2.469;-0.996;-1.756;-0.698;-3.454;-5.132;-3.843;0.949;-0.378;5.745;3.534;7.346;6.767;2.615;-7.505;-12.807;-7.727;-1.480;0.591;3.122;4.353;7.102;7.189;10.928;10.295;1.212;5.920
6.161;8.169;5.225;-4.643;-8.445;-3.092;-2.209;-1.874;-1.383;0.443;-2.165;-3.248;-2.625;1.276;-1.662;5.556;4.641;8.038;7.903;3.630;-6.246;-12.822;-8.708;-1.638;1.596;3.435;4.026;6.529;6.675;11.316;10.029;0.749;5.039
7.675;7.761;5.638;-4.961;-9.297;-4.722;-1.770;-2.784;-1.091;1.337;-1.130;-1.697;-1.745;1.294;-2.586;5.050;5.777;8.246;8.554;4.313;-4.989;-12.535;-9.530;-1.794;2.377;3.479;3.456;5.582;5.761;11.206;9.368;0.371;4.145
8.686;7.055;5.476;-5.399;-9.869;-6.366;-1.190;-3.724;-0.955;1.920;-0.364;-0.558;-1.237;1.052;-3.138;4.280;6.814;7.920;8.607;4.587;-3.980;-12.155;-10.308;-2.098;2.769;3.173;2.632;4.225;4.482;10.524;8.271;-0.017;3.228
9.150;6.238;4.672;-6.013;-10.199;-8.014;-0.583;-4.669;-0.994;2.208;0.194;0.174;-1.050;0.644;-3.444;3.324;7.659;7.123;8.075;4.480;-3.321;-11.814;-11.110;-2.616;2.689;2.522;1.609;2.517;2.916;9.294;6.809;-0.468;2.314
9.219;5.510;3.447;-6.711;-10.325;-9.639;-0.143;-5.629;-1.201;2.259;0.681;0.557;-1.076;0.167;-3.680;2.301;8.277;6.022;7.089;4.117;-2.953;-11.540;-11.935;-3.315;2.155;1.607;0.503;0.620;1.195;7.664;5.167;-0.979;1.483
9.154;5.017;2.181;-7.205;-10.221;-11.202;-0.042;-6.597;-1.504;2.190;1.179;0.727;-1.152;-0.291;-3.971;1.339;8.677;4.828;5.880;3.686;-2.685;-11.249;-12.676;-4.056;1.308;0.587;-0.524;-1.232;-0.505;5.875;3.604;-1.468;0.864
9.198;4.811;1.221;-7.061;-9.808;-12.612;-0.262;-7.487;-1.758;2.163;1.580;0.859;-1.111;-0.661;-4.316;0.520;8.835;3.713;4.732;3.402;-2.259;-10.784;-13.128;-4.638;0.381;-0.342;-1.300;-2.805;-2.011;4.168;2.367;-1.791;0.596
9.413;4.837;0.753;-5.919;-9.039;-13.747;-0.610;-8.186;-1.821;2.294;1.651;1.053;-0.888;-0.940;-4.622;-0.173;8.592;2.701;3.870;3.417;-1.464;-9.994;-13.092;-4.901;-0.416;-1.041;-1.740;-3.964;-3.251;2.686;1.582;-1.827;0.741
9.578;4.950;0.776;-3.745;-7.974;-14.506;-0.862;-8.638;-1.639;2.580;1.224;1.263;-0.577;-1.237;-4.812;-0.856;7.676;1.654;3.334;3.737;-0.225;-8.807;-12.486;-4.796;-1.004;-1.499;-1.904;-4.723;-4.298;1.424;1.180;-1.562;1.236
9.325;4.978;1.161;-0.875;-6.734;-14.802;-0.859;-8.833;-1.234;2.941;0.286;1.315;-0.355;-1.701;-4.865;-1.633;5.910;0.374;2.980;4.235;1.400;-7.238;-11.348;-4.362;-1.423;-1.790;-1.946;-5.197;-5.288;0.270;0.961;-1.070;1.925
8.385;4.786;1.742;2.148;-5.409;-14.551;-0.511;-8.740;-0.632;3.302;-1.055;1.015;-0.353;-2.378;-4.770;-2.515;3.371;-1.257;2.584;4.731;3.249;-5.362;-9.786;-3.674;-1.749;-2.000;-2.004;-5.513;-6.307;-0.913;0.705;-0.466;2.623
6.665;4.278;2.323;4.771;-4.052;-13.712;0.214;-8.321;0.130;3.594;-2.575;0.206;-0.608;-3.212;-4.583;-3.468;0.316;-3.264;1.906;5.008;5.041;-3.340;-7.962;-2.836;-2.076;-2.218;-2.168;-5.795;-7.385;-2.258;0.206;0.107;3.111
4.206;3.387;2.679;6.595;-2.707;-12.342;1.234;-7.599;0.947;3.715;-3.910;-1.181;-1.077;-4.127;-4.492;-4.490;-2.978;-5.603;0.743;4.832;6.430;-1.398;-6.063;-1.985;-2.495;-2.531;-2.495;-6.169;-8.539;-3.873;-0.709;0.495;3.157
1.170;2.110;2.625;7.476;-1.419;-10.553;2.367;-6.656;1.683;3.578;-4.668;-3.068;-1.667;-5.067;-4.762;-5.579;-6.242;-8.144;-0.971;4.047;7.167;0.283;-4.213;-1.201;-3.029;-2.968;-2.986;-6.704;-9.739;-5.773;-2.108;0.609;2.606
-2.176;0.502;2.083;7.494;-0.218;-8.446;3.440;-5.592;2.212;3.150;-4.613;-5.215;-2.293;-5.997;-5.579;-6.677;-9.186;-10.661;-3.151;2.637;7.189;1.627;-2.429;-0.469;-3.595;-3.469;-3.592;-7.384;-10.897;-7.849;-3.938;0.455;1.435
-5.489;-1.352;1.085;6.863;0.879;-6.087;4.395;-4.512;2.426;2.444;-3.765;-7.304;-2.947;-6.888;-6.927;-7.672;-11.528;-12.901;-5.625;0.713;6.563;2.636;-0.685;0.267;-4.078;-3.934;-4.227;-8.138;-11.905;-9.935;-6.077;0.096;-0.279
-8.388;-3.315;-0.211;5.867;1.897;-3.494;5.302;-3.456;2.297;1.533;-2.404;-9.013;-3.663;-7.678;-8.551;-8.438;-13.061;-14.642;-8.133;-1.495;5.460;3.374;1.062;1.079;-4.360;-4.248;-4.769;-8.839;-12.646;-11.851;-8.335;-0.358;-2.359
-10.510;-5.156;-1.510;4.812;2.908;-0.648;6.238;-2.350;1.943;0.575;-0.963;-10.074;-4.405;-8.245;-10.060;-8.864;-13.695;-15.691;-10.324;-3.666;4.150;3.973;2.878;2.063;-4.308;-4.272;-5.052;-9.308;-12.980;-13.381;-10.434;-0.746;-4.513
-11.613;-6.586;-2.460;3.929;3.964;2.438;7.180;-1.052;1.597;-0.232;0.174;-10.363;-5.048;-8.471;-11.088;-8.900;-13.469;-15.902;-11.838;-5.475;2.913;4.567;4.791;3.264;-3.840;-3.909;-4.937;-9.376;-12.785;-14.287;-12.066;-0.920;-6.402
-11.638;-7.343;-2.774;3.286;5.028;5.645;8.034;0.535;1.479;-0.760;0.780;-9.974;-5.462;-8.317;-11.448;-8.583;-12.538;-15.226;-12.437;-6.698;1.924;5.192;6.717;4.604;-3.009;-3.186;-4.414;-8.984;-12.037;-14.405;-12.993;-0.834;-7.763
-10.687;-7.283;-2.326;2.786;6.004;8.751;8.727;2.360;1.646;-1.040;0.781;-9.164;-5.587;-7.834;-11.145;-7.998;-11.122;-13.753;-12.066;-7.240;1.215;5.767;8.463;5.885;-2.010;-2.252;-3.604;-8.204;-10.823;-13.702;-13.113;-0.557;-8.475
-8.977;-6.432;-1.165;2.251;6.828;11.520;9.199;4.238;1.974;-1.246;0.247;-8.207;-5.436;-7.111;-10.309;-7.199;-9.407;-11.682;-10.855;-7.120;0.704;6.157;9.812;6.876;-1.078;-1.305;-2.685;-7.173;-9.275;-12.279;-12.455;-0.213;-8.533
-6.808;-4.979;0.508;1.542;7.492;13.787;9.404;5.971;2.280;-1.575;-0.639;-7.295;-5.073;-6.231;-9.119;-6.201;-7.508;-9.276;-9.050;-6.441;0.240;6.229;10.611;7.380;-0.415;-0.531;-1.820;-6.032;-7.532;-10.332;-11.166;0.061;-8.026
